Gene	b0359	s0018	s0107	s0183	b0318	b0383	b0499	s0026	s0060	s0104	s0200	b0370	s0025	s0109	s0190	b0326	b0404	b0502	s0035	s0067	s0138	s0201	b0251	b0387	s0042	s0116	s0204	b0334	b0512	s0037	s0071	s0141	s0205	b0305	b0394	s0080	s0136	s0210	b0339	b0427	b0515	s0040	s0077	s0154	b0327	b0421	s0087	s0146	s0229	b0340	b0428	b0521	s0046	s0084	s0162	b0336	b0551	s0100	s0175	b0165	b0341	b0433	b0566	s0047	s0086	s0168	b0338	s0004	s0101	s0176	b0241	b0374	b0434	s0006	s0050	s0088	s0170	b0344	s0013	s0106	s0181	b0243	b0382	b0494	s0019	s0059	s0103	s0177	b0626	s0001	s1511	b0671	b0627	s1551	b0504	b0672	s0055	s1616	b0679	s0350	b0252	b0542	b0694	b0519	b0565	b0772	b0554	b0664	b0244	b0574	b0556	b0667	s0132	b0354	b0629	s0033	b0668	s0195
THBS2	0.580985	-0.512519	0.858	-1.542702	1.264657	-1.642175	1.305932	1.292349	0.11823	0.005119	-3.014712	0.828048	-0.996707	-0.355904	-1.133382	-1.919008	0.092425	-0.030263	-0.003828	0.621657	-2.257904	0.094858	-1.788281	0.797088	-0.281066	0.393646	-1.487209	0.266239	0.800855	0.421015	0.355082	0.644886	1.168126	-0.44473	-0.840543	1.3678	-0.815681	-2.22399	-1.686285	0.003828	-0.48936	0.042939	1.210291	0.107901	-1.964687	-0.010328	-1.612121	1.563172	-0.918979	-0.718519	1.277485	0.318707	0.873956	-1.193871	-0.418274	0.855017	-0.706721	0.866217	0.517614	-0.762634	-0.481771	0.230323	0.367528	-2.624941	0.409931	-0.726308	0.764303	0.318361	0.428037	-0.26813	0.410404	0.905964	-0.154289	0.005154	-1.128087	-0.186967	0.715754	0.433586	-3.314689	1.118916	0.42448	-2.211026	-0.080028	-1.705397	0.161775	1.572445	0.236148	-1.410846	-0.328191	-0.919699	0.844273	-2.112657	0.805092	-0.331055	-1.523511	-0.527531	-0.45457	-0.311027	0.472596	0.040926	-1.332762	0.437335	-0.472236	-0.799047	-0.37147	0.927763	0.204297	1.049565	-0.734089	-1.756219	0.714882	-0.175167	0.010773	0.609917	-0.296703	-0.826516	0.906881	-0.760953
FBLN5	-0.418574	0.440986	1.075502	-1.735333	0.00067	-0.361539	-0.211864	0.619472	-0.72554	1.510344	-1.318142	0.475807	-0.125788	-0.441207	-0.878903	0.417555	0.615071	-0.712621	0.164674	-0.363608	1.469561	-1.255649	-1.263919	1.173926	-0.212436	-0.00067	-0.718982	0.697992	0.511396	-0.291465	1.767072	-0.7833	0.104898	2.249425	1.920282	1.208313	0.166282	-0.630363	-1.414288	0.393707	-0.827264	-0.643681	0.330792	-0.220819	0.030113	0.276683	-0.576781	0.801765	-0.349099	-0.268938	0.356365	1.213599	-0.111344	0.037813	0.940475	0.257107	-0.216234	0.668177	0.335974	-0.190599	-0.773804	1.204972	0.911307	-0.865298	0.246781	-1.027422	3.420287	0.858562	-1.269309	-0.607697	0.88114	1.278691	0.742226	-0.740093	-1.129616	-0.248333	-0.629268	1.257652	0.717833	-0.035184	-0.148837	-1.226495	-0.188148	-0.320933	-0.411492	0.035594	-0.285626	-0.204817	1.479705	-0.155455	0.295269	-1.145629	1.123164	-0.802334	0.53637	0.566195	-0.065499	-0.551875	0.494756	-0.480618	-1.500779	0.494124	0.317603	1.030924	-0.290917	1.172952	1.538878	0.073574	0.128532	-0.199327	-0.385908	3.929345	-0.539057	0.725484	-0.720997	0.037564	0.382616	-1.284002
RAPGEF2	-0.995251	0.56646	-1.329622	-1.506539	0.253862	-1.681541	0.193514	-0.10748	-0.011291	0.272883	0.350663	0.414706	0.611071	0.12565	-1.051098	1.016775	-1.804541	-0.155278	0.462958	-1.043016	0.337797	-1.144021	0.616907	0.275703	0.061198	0.12235	-0.697506	0.212159	-1.324189	0.47916	1.2928	0.619534	0.840347	0.442728	0.361642	0.570119	1.719824	-1.157997	0.03718	-0.179429	-1.288436	0.989044	-0.590497	0.131571	0.793293	-1.168155	-0.996687	0.366316	-1.174164	-1.38868	0.580237	-0.193961	-1.41881	-1.73083	1.168105	-1.441298	0.886133	-0.276767	0.378486	0.371668	-0.615487	0.274467	-1.627945	0.483864	0.79918	-1.669945	0.264029	0.508649	0.644149	0.620576	1.087557	-1.207942	1.247293	0.384247	-1.274077	-1.10629	-1.429484	-0.820871	0.011291	-1.169276	0.632689	-1.582206	0.188564	-1.934778	-0.193961	-1.368723	-1.320981	-1.607565	-1.060259	0.18883	0.640452	-0.423804	-1.288225	-0.171437	0.104604	-1.143088	0.144495	-1.428461	0.791037	0.710289	-0.867443	-1.034443	-1.189413	-0.232076	0.647227	1.009661	-1.135636	1.005951	-0.504581	0.245005	1.589482	-0.985054	-1.280266	-1.050785	-0.056278	-0.061243	-0.642143	0.400464
GPRC5A	0.1186125	-0.3696005	0.3815595	-3.6936275	-0.1571355	-0.5505355	1.0422825	0.2222465	0.2004415	1.9052305	-0.8630815	0.7240375	-1.2828545	0.1200905	1.4758795	1.0297035	1.0867175	-0.1219625	1.0494805	0.1887925	-2.7917895	0.8197485	1.0806665	-0.2367895	-2.3595555	-0.9091255	0.1732095	1.3826235	0.9168655	0.6227045	-1.3371705	0.8200095	0.9592735	0.1831785	-3.4955285	0.0881035	-1.4359995	-0.8012015	-2.2348555	0.5402625	-3.4750905	0.3718375	-1.0367235	0.8473675	-2.0022355	1.9052005	-1.7952705	-0.3587145	-4.2361395	0.9602605	1.3125785	-0.6488395	1.3785625	-1.3023365	-2.3899405	1.3383015	0.1072895	0.5815705	1.3044775	-0.1639495	-0.0569565	-0.8958785	0.7846615	-4.5301605	-0.0093025	1.0991545	-1.6868725	0.2024725	0.4108665	-1.2226175	0.8519495	1.0649805	0.0922545	-0.2634965	-0.6833215	0.7207735	0.6040115	-3.3258795	-2.0454815	-0.2122795	0.8416865	-1.6678405	-1.7146245	-3.5843315	0.0093025	-0.5670475	0.0412635	0.4461025	0.9486775	0.8753275	-0.3255415	1.2871015	-0.3494765	-0.0539885	-4.2158065	-0.4164805	1.5906775	-3.0107345	0.3988465	-0.4257205	-0.6752775	1.5661485	1.8478055	1.7009095	-2.6528285	-0.4189985	-0.3393725	0.8494915	-1.7329535	-4.3271355	2.1532765	0.5507375	-0.1079005	-0.8394945	-2.0090945	-0.6514615	0.9276675	-0.2069275
IMPA2	3.287182	2.385443	-0.888781	0.827429	-0.702207	0.640079	-0.936721	-0.35282	-1.260322	-1.419324	-1.370276	1.035905	-0.915801	2.738038	2.711835	-1.37613	-0.568771	0.416485	-0.245668	-1.897941	0.73559	3.218578	-1.714531	-0.688605	-1.908001	-1.478675	1.707316	-1.401668	1.578511	-0.854082	-0.144686	0.097867	-1.038575	1.947622	0.259664	0.210733	2.711638	2.141591	0.187101	0.51025	0.751778	-0.473089	0.4059	-0.986759	1.582416	-0.836985	-0.426039	-1.465353	3.462802	0.493821	-1.226198	0.971575	-1.883387	3.44109	-1.149965	0.26584	-0.010535	-0.186418	-0.007557	0.468964	1.800191	1.907341	-0.38113	-0.713437	-0.287305	0.598655	0.736476	0.8317	2.41287	-1.436192	-1.104317	-0.054535	-0.837321	-1.8617	0.769526	1.11673	-0.993416	-0.9406	1.287432	-1.436952	-1.400396	-0.604831	0.719186	2.573263	-1.837668	-1.500586	-0.813479	-0.497254	0.698721	0.593232	0.239975	0.450344	-0.508187	-1.377292	1.034793	2.289211	-1.306909	0.574861	-0.923676	0.022436	-1.936864	-0.824923	2.006201	1.138888	-0.831389	-0.833553	1.508831	0.007557	0.398431	-0.573953	-2.381928	1.895426	0.689471	0.547645	0.483229	-0.65305	0.060515	1.042947
KIF5C	-1.306517	1.78538	-1.070104	-0.945071	-1.059151	2.423341	0.583604	-0.983884	0.981826	2.245757	4.349672	-0.114948	1.132563	3.274382	-0.291817	0.007192	1.388777	-0.472775	-0.187772	-0.262871	-1.097707	-1.076568	0.541085	2.180177	-0.531337	-0.246045	1.702676	0.51182	0.202433	0.399874	-0.686715	1.240896	1.196802	-0.900545	-0.266642	1.817724	-0.7939	-0.105372	0.27761	0.688733	-0.724421	-0.234734	0.058154	0.588812	-0.67862	0.266843	-1.076843	0.892856	-0.114325	2.498027	-0.999833	0.300335	-0.397806	-0.871232	1.451426	-0.724028	-0.790065	4.51558	1.025126	2.873009	-0.37009	-0.465868	1.734656	0.417277	1.735342	-0.1567	-1.010173	-0.007192	-1.333501	-0.672775	3.803741	2.294649	2.589269	-0.980928	1.511942	-1.056015	3.568904	-0.784483	-0.93536	2.003048	-0.271812	0.585161	-0.869161	-0.209835	1.261455	0.220195	4.303772	-0.65382	-0.859859	-0.917438	0.190995	4.260146	1.928974	3.893541	-0.928217	-0.780973	2.713805	-0.688152	1.11744	-0.945426	0.608512	-0.763985	-0.675283	0.72702	1.473202	3.140069	-0.833491	1.06512	-0.279142	-0.146901	0.25702	-0.50072	-0.783463	-0.221169	1.886589	4.956691	2.32281	-0.627053
PDGFRA	1.177692	0.776341	1.08684	-0.815771	0.649255	-0.75709	0.360323	0.08962	-1.007872	1.072128	-3.077472	0.465062	-1.427098	-0.750015	-0.82529	-0.509443	-0.364847	0.166528	-0.243358	-0.232062	-1.164159	-0.03529	-3.159904	0.235545	-0.425619	0.120844	-0.916679	0.460174	0.595145	0.078592	0.986249	-0.005675	0.753738	0.679745	1.088162	1.523808	0.543646	-0.908021	-1.79893	0.510148	-0.363357	-0.699772	0.023919	-0.081389	-0.917261	-0.610243	-2.074656	0.152899	0.224542	-0.274629	0.964459	0.797611	0.472204	0.067653	0.815751	0.473416	-0.512109	0.640316	0.630624	-0.357465	-0.274824	0.387049	0.551952	-2.586594	0.758534	-0.057345	1.360327	1.160316	0.005675	-0.407062	0.278691	0.58704	0.372505	-1.01104	-1.29472	-0.75407	-1.116443	0.160525	-3.82314	1.406052	0.169634	-1.507507	0.065393	-1.034461	-1.053935	0.739152	-0.084306	-0.970756	0.74134	0.043438	0.976961	-2.32638	0.24285	-0.993235	0.331436	0.088645	-0.978914	-0.849274	0.892978	-0.394675	-3.01507	0.583945	-0.371557	-0.489333	-1.19853	1.068346	1.545012	0.857158	-1.709122	-0.628709	-1.001109	1.366667	-1.152241	0.246629	-1.117616	-0.405422	-0.333695	-0.658204
HAT1	0.222064	-0.145074	-0.640338	0.382259	0.410204	-0.544774	-0.270528	-0.172442	-1.515151	-0.517825	-0.147548	1.066198	-1.917364	0.528956	0.025147	0.485427	0.009272	0.143753	0.097165	-1.195708	0.045193	-0.402018	-2.2447	0.045926	-1.169218	0.194412	0.44517	0.260051	0.365871	-0.101562	-0.531662	0.425548	-0.491686	0.60267	0.06616	1.098706	-0.021896	-0.149209	-0.020572	0.564289	-0.545862	0.227069	0.098999	0.207768	0.24021	1.146358	-3.022502	0.761016	-0.060162	0.141999	-0.689153	0.293029	-0.33366	-0.100235	0.195463	0.240872	0.06616	1.135981	0.682673	-0.246703	-0.206756	0.040417	-0.052674	0.306815	0.161307	-0.442207	0.326273	-0.085556	-1.034584	-2.295001	0.453059	1.016178	-0.616128	-1.727892	-0.115905	-0.009272	0.335662	-0.291432	0.05938	0.151348	-1.32231	-1.638952	-0.532969	-0.216008	-0.945813	-1.503645	0.160897	-0.555435	-0.200704	0.887208	1.153579	1.06737	0.422599	-1.614853	-0.423209	-0.015762	-0.363564	-1.452099	0.297522	-1.583271	-3.088455	-0.432793	0.272593	1.078773	0.561565	-0.477569	1.265979	0.376436	-1.917575	-0.287008	-2.349647	0.915456	-0.243082	0.780797	-0.207386	1.142592	0.697774	0.114612
DAPK1	1.43379	-0.289843	0.44824	2.350889	1.332017	0.184976	0.085542	0.646402	-0.80809	-0.601775	-0.989256	-0.24602	-1.273733	2.003865	-0.224713	-0.695313	-1.416674	1.732726	-0.71741	-0.558583	0.866384	1.100694	-2.042575	0.932832	1.325472	-0.628227	-0.316498	0.002749	0.185168	0.090639	2.430295	0.580134	-0.24418	1.144954	0.022104	-0.022477	1.391009	1.744743	-1.270634	1.405839	0.146281	-0.679107	-0.300041	-1.004441	2.350769	-0.731316	0.217836	-0.65073	-0.067661	0.639513	-0.17941	-0.20111	0.467034	1.147297	-0.419626	-0.342113	-0.337027	-0.757125	-0.238113	0.270738	0.187315	0.423928	-0.557465	-1.137157	-1.266524	-1.64368	1.702518	0.399604	1.357527	-0.139795	-0.11826	-0.071038	0.088721	0.51648	-0.145008	-0.002749	-1.036255	0.241436	1.922624	0.03164	-1.043952	-1.048287	0.074628	1.235451	-0.551722	-0.18424	0.440237	-0.047467	0.883983	0.306737	0.062191	-0.294935	-0.46713	-0.341763	0.945319	1.453542	0.491652	1.378764	0.410451	-0.298942	-0.37573	0.678301	-1.021593	-0.345792	-0.850312	0.348665	-0.070449	0.298132	1.865309	0.271821	-0.593698	1.358892	-0.698294	0.878722	-0.981941	-0.550721	-0.245841	1.954401
KIAA0040	-1.436742	0.061992	1.1457	-0.508093	-0.609078	-0.418548	-0.050294	0.416292	-0.444195	-1.071871	-0.310505	1.176738	1.401577	-0.027049	-0.020328	0.287234	1.276133	0.425395	0.875465	-1.571539	-0.548024	-1.218427	0.207995	-1.564266	0.03249	0.857323	1.308183	1.335718	-0.515547	-0.046786	-0.433022	-1.125565	0.304605	-1.211974	-0.451888	1.399196	-0.840565	0.055884	0.151708	-0.158692	-1.065765	2.10719	0.751027	0.664875	-0.469011	1.12702	1.08052	0.04469	-1.143511	-1.028713	0.903623	1.171075	0.952189	-0.161787	0.328974	0.069718	-0.228877	0.275188	-0.669015	1.117131	1.13846	-0.124098	0.109707	-0.238856	0.799334	2.083319	-1.603051	-0.883255	-2.352067	-0.479042	1.982363	0.87164	-0.728264	-0.685816	0.289074	-0.04654	1.347897	-1.371373	-1.729731	0.004594	1.225178	-0.155709	-1.203166	-1.730426	-0.384409	-0.79271	0.122561	-0.160303	-0.004594	0.025903	0.24759	1.734918	-0.411487	0.951516	-0.221052	-0.56589	-0.628588	-1.885811	0.69253	0.030745	1.226102	-1.609719	1.094227	1.157146	0.885947	0.316676	-0.67492	0.512001	-0.305086	0.260161	-1.064868	-1.290997	2.10939	0.390789	1.152738	0.42811	-0.172966	-0.015215
SPAG5	1.3580755	0.4015655	-0.5194555	1.1639705	0.7006305	1.1062595	-0.9517205	-0.8845755	-0.0475795	-0.3852365	-0.2413445	-0.3095495	0.5998355	1.3394475	-0.2187685	0.8298975	-1.1146015	0.7630725	-0.5429925	2.4097625	0.4621255	0.3212635	1.4411705	0.3201945	-0.1298225	0.7424145	1.6004405	-0.4625085	1.5017305	-1.2889685	-0.2827885	1.0408855	-0.2101315	-0.1144265	-0.3809805	-0.3367595	0.4272095	0.6387455	-0.9173675	1.1519335	0.7862725	-0.3991095	-0.2989675	0.2380695	0.5331435	-0.4000805	1.2566735	-1.3406965	0.9032695	-0.3534925	-0.4609395	-1.3076855	-1.5951365	0.6438625	-1.1493605	0.1598495	1.6617265	0.0033845	0.0114585	-0.0033845	0.0711105	-0.2174425	-1.1563855	-0.2938695	-0.8965905	-0.5236195	-0.5838365	-0.0496585	0.6474185	0.4655695	-0.6586065	-0.3358985	-0.6252175	2.4755515	0.5137415	1.5661915	-0.1616355	-0.1981285	0.0477645	0.4109155	0.1552285	-0.6950585	-0.3825665	0.3369555	-0.4184425	-0.5046175	-0.4567155	-0.0811535	-0.9606885	2.1451745	-0.5675955	-0.1682275	-0.5831405	0.2160435	0.0266195	0.0531135	0.1543825	1.2350265	-0.8789175	0.8728035	0.0240845	-0.4712445	-0.5257445	0.1843445	-1.5028045	-0.7896145	-0.2734345	2.5912595	0.8043445	-0.3407595	1.0093765	0.8713595	1.3508495	1.2609485	1.4650735	-0.5264465	0.1049235	1.2123255
GABBR1	1.0943905	0.4628455	0.7366485	-2.6058955	0.6351225	-0.8675945	0.5394995	0.8313245	0.1264775	1.6184125	0.3722185	-0.6447645	0.5762695	-0.4013495	-1.6970255	-0.0509675	-0.5235445	0.0080925	1.6000085	-1.3435765	-0.5572665	0.0239685	0.2424305	0.2686805	0.0239685	-0.1490945	0.1909905	0.3175395	-1.0123705	0.4674815	-0.4231865	-0.4042765	0.2985275	0.1273565	0.5772185	-0.6865475	0.7454125	-0.7605835	0.0372825	-2.2118595	-0.1343965	-0.3327915	0.5132655	0.6788205	-0.4361335	0.3515785	-0.2908525	0.0944105	-0.4406345	0.5100065	0.4590355	-0.2999225	-0.5254885	0.4525205	0.0305345	-0.4885955	0.8594105	0.5223215	-0.0731025	0.8883095	0.7050205	1.5455065	-2.3399125	-0.6325185	0.3439875	0.7448975	0.4996355	-0.6473685	-1.2410245	-0.9881155	-0.2371615	-0.9256705	0.4103445	-0.0080925	-0.0571545	-0.8405235	-0.3340325	-0.4475205	0.3507255	-0.6151645	0.4540405	-0.6922645	-0.1710395	-1.2798425	-1.3874325	0.0513135	0.1873515	0.2869095	-0.8878405	-1.3167355	0.0164315	-0.0676645	-1.3986475	1.1463675	-0.2443345	-0.1375665	1.0013305	-0.5389125	1.2887465	0.4813575	0.2974805	-2.3026295	-1.5084275	-1.4681525	-1.1645065	1.0364585	-1.6135735	1.4502785	-0.4533105	0.2445105	1.2251835	-0.4803055	0.9962805	-0.2252095	0.5700625	-0.1592465	-1.2277995	0.6760075
TRIM14	-0.476413	0.187363	-0.192063	-0.221919	-0.221509	-0.126711	-0.719682	-0.49877	0.372238	-1.124577	0.560517	0.791159	-0.197767	1.194716	-0.184176	-0.45477	0.80639	0.45117	-0.100496	-1.319262	0.99733	-0.752354	-2.449874	0.748394	0.308175	0.08634	0.611502	0.277947	0.348328	-0.407783	0.421481	-0.541899	-0.396582	0.406426	0.299807	0.03111	1.183874	2.867595	-1.044759	0.020386	0.44996	1.493433	0.082511	0.951133	0.828244	0.734774	-1.70662	0.074213	-0.004381	0.605365	-1.363182	-0.322274	-0.877241	0.406401	0.031454	-0.439198	-0.505603	0.061624	0.474415	-0.13745	0.334913	-0.96211	-0.020654	0.595134	0.372162	0.154325	-1.71756	0.732986	-0.767625	-0.945377	0.236932	0.353902	-0.264048	-2.380055	1.013328	-1.342632	-0.73303	-0.931457	-0.362029	0.549769	-0.109934	0.050491	0.421519	0.227889	0.12234	-0.547683	-0.329514	-0.196889	0.004381	-0.379757	0.357745	1.034254	0.550651	-1.40592	0.747777	0.302391	-0.596828	-0.941077	-0.111477	-1.09748	-0.950941	-0.859364	-0.054745	1.077462	-0.456003	-0.39703	-0.172762	-0.146151	0.424517	0.719265	-0.014982	0.316231	-1.719898	0.187518	-0.66338	1.130758	-0.235339	1.478194
IFIT1	-1.759384	-0.460198	0.055144	-0.865715	-0.322489	0.777606	-0.243149	-1.818283	0.917153	-0.098055	1.533919	0.702339	0.942498	1.456363	1.548871	-2.178761	1.897529	0.874514	-1.216625	-1.42448	0.423878	-0.807414	-3.56116	1.957353	2.042005	2.821633	2.602551	-0.359304	1.300122	0.275578	0.013433	-0.161675	-1.353614	-0.89883	0.283649	-1.116138	0.774423	0.847714	1.182657	0.862611	1.802249	3.093859	-0.584086	2.584311	-0.085537	-0.856149	0.258591	-1.629232	1.515723	1.90415	-2.080717	-0.762731	1.322987	1.4326	0.533452	0.518458	-1.358403	1.917197	0.394487	-0.669338	1.223329	-0.199566	-0.472149	-0.672957	-1.400598	-2.620764	-1.164197	0.749841	-2.174567	-0.377858	0.211932	0.218877	-0.732649	-1.161658	3.276639	-1.208745	-0.165339	0.301604	0.98489	1.633991	1.845454	-0.330766	-1.253722	-0.460581	1.445499	-0.096356	1.231262	-1.347109	-1.178658	-0.995977	0.903576	1.546648	0.297223	-2.230384	2.036813	-1.323917	-0.619025	-2.107411	-1.560493	1.451599	-1.886966	1.00487	-0.602694	1.991834	-0.013433	-0.40492	0.078391	0.734386	-1.433463	-0.581853	2.221478	2.770791	-1.910388	-0.254863	-0.835773	2.495711	-0.272536	1.688993
GATM	-0.2444885	0.3129725	0.2706415	-0.7672095	-0.6128465	1.6609685	-0.3819125	0.9623275	-1.4309055	-0.8325795	-0.4650665	-0.4431025	0.7736125	0.7787025	0.6310085	-0.7736015	0.1377805	3.2197395	-0.7920745	-1.3274295	-0.4070555	-1.1260265	-1.2425835	-1.1159645	-0.3807615	1.7093785	1.5734965	1.9731195	1.1463615	0.5439975	-0.3457635	-1.2645525	-0.6606225	0.1498395	0.1185385	-0.0188265	-0.3432045	-0.1972575	0.7348375	-0.5759855	-0.9241335	0.0630865	2.0293305	-0.0504585	0.1077875	-0.7526075	-0.6885255	0.4675655	-0.2451185	-0.8797975	-1.0310225	2.9071245	-0.7235095	0.2955845	1.0745235	0.5224295	-0.8668845	-0.6456695	0.1079365	0.8572925	-0.4932495	-0.7392755	0.5064485	0.4837775	-0.6483755	-1.4145705	-0.6605265	0.2393085	1.3998955	1.2339885	1.7908835	2.4977965	-0.7612085	-0.8462175	0.0846935	2.8856915	2.0489105	0.0144735	-0.3282655	0.7588075	0.2956915	-1.1518775	-1.0562495	-0.2869285	0.1231615	-0.6612715	0.9793005	0.4711935	2.1951555	2.0653455	-0.7942475	1.7123055	-0.7334965	-0.1766435	-1.1801225	0.0687225	-0.0995145	1.6475325	-0.0144735	-0.9361065	0.3223025	-0.9323375	0.1960525	3.1978905	1.0823615	1.0232535	2.1217095	-1.1478405	-1.0769295	-0.3613785	-1.3311485	2.0039315	1.1452645	-0.6926265	2.5033585	1.7808825	1.4021075	-1.1509595
ALDH1A3	0.028824	0.232068	0.143402	-0.683795	-0.720122	0.099171	-0.626193	-1.093928	-0.030924	0.81711	-1.931203	1.519427	-0.311364	0.085854	0.635203	-0.233778	-0.5314	-0.143711	-0.210333	-0.300311	0.816711	-0.615282	-1.892374	2.45279	0.09175	0.628185	-0.904902	-0.049646	-1.460569	-0.332238	1.101607	0.128169	0.069829	1.290102	1.217764	0.663811	1.580028	-0.91843	-0.438902	-0.980867	-0.606702	-0.862661	-0.042532	-0.550319	0.804288	-1.06273	0.412538	-0.851489	-0.782604	-0.459847	0.196509	1.066454	0.948212	0.431142	-0.270566	-0.031283	3.91348	0.210671	2.102819	-0.080845	-1.14657	-0.14803	-0.267983	-1.485051	0.619771	0.662048	1.223832	1.525455	2.08666	2.57457	0.154796	0.102327	-0.025954	-1.516496	-1.236863	-1.228036	-0.74702	-0.182654	1.260437	0.933693	1.260231	-0.39246	-0.096812	-0.209566	-0.765115	-0.844927	0.025954	0.080889	0.494147	-0.310437	0.906921	-1.114965	1.850154	-0.612551	-0.205435	1.802298	0.220496	0.131148	1.251267	-0.944649	-0.631904	-0.614751	0.895878	0.602729	-0.235944	0.846116	2.555778	1.580754	1.432771	-0.172836	-0.854941	2.861338	0.776471	0.416724	-0.547644	0.688568	-0.261381	2.325425
FBN2	-0.3701615	2.4806075	2.8261985	3.4970205	2.5441435	-0.6152625	1.9216065	-0.0199445	0.8408335	4.1906495	0.1063975	2.8997685	-0.0421565	0.6396825	-0.0675845	1.8554845	-0.3309655	0.7554905	-0.6614655	4.1417885	-0.1153305	2.8520115	1.1624795	0.3737295	-0.3473525	0.1889765	-0.0453555	-0.1172215	2.1432685	1.0906455	-0.0293225	5.6312865	0.3081915	2.0275925	-0.0380575	-0.3906475	-0.7300865	0.7052355	-0.8538805	3.7136785	-0.0341125	1.4794625	3.7197635	0.0278895	-0.0875075	-0.3200355	-0.1896025	0.3014095	0.3134685	0.0720355	1.6049365	-0.2681605	2.0447455	1.9041515	-0.7856765	-0.7114185	-0.5874115	-0.6018205	-0.1224875	1.1564985	-0.1983695	-0.0397035	0.0419195	-0.4804605	0.0199445	-0.1294655	0.2690405	-0.1331255	-0.2941385	-0.2289345	1.7542425	0.3952155	-0.0656655	-0.3078975	-1.1906225	0.5169345	0.7420785	0.3619375	-0.4739355	-0.5809155	2.1251095	-0.5974395	-0.4544875	-0.5426665	0.1418335	2.4050055	-0.3770295	-0.7642465	-0.7821735	2.0308695	2.0275065	-0.4831705	0.1113165	-0.4646725	-0.2931645	-0.7110285	2.0609765	-0.6016715	1.2500405	-0.2466665	0.2736965	0.7010425	-0.0693435	-0.9000965	-0.6468755	0.3777025	-0.8092065	5.8125485	1.7147385	-0.0895675	3.5384165	2.1618545	1.3004715	-0.3072485	-1.1248695	-0.7025635	2.1652735	-0.4169895
MTFR1	1.0638635	-0.3038775	-0.3221855	1.3291715	1.2446515	-0.1813325	-0.3407755	-0.4305835	-0.4798035	0.5498125	-0.6663525	1.2437725	-0.5271785	0.5445535	2.2546255	1.1400505	-0.7551385	-0.3993535	-0.8156365	-0.3975035	-0.0706385	-0.1558055	-0.8063485	0.5119415	-0.5643415	0.7710605	1.6763105	-0.1323755	1.5486925	-0.8236145	-0.2538345	1.3000055	0.2633975	1.8212855	-0.2316265	0.3914375	1.0325255	0.1386835	0.2305955	1.9087665	-0.0186455	-0.0270465	-0.7978075	-1.0327395	0.1045665	0.6489705	-0.3210625	-0.4181535	1.6305625	0.3346125	-0.4888365	-0.1403295	-0.4241775	0.4761245	-0.4673785	1.9303595	0.8885815	-0.5959025	1.6871755	-0.1151245	-0.4464535	0.4920395	0.7326425	-0.0830575	-0.1670165	-0.8285055	1.3115145	0.7544915	1.7565145	0.0480275	-0.4465705	0.8253035	-0.4038965	-0.0327565	-0.1232355	0.8148045	-0.3465405	0.3809605	0.6671365	0.7073875	-0.3931815	-0.7631285	-0.1185225	1.4805225	0.9792475	-0.3475555	-0.7988625	-0.7735215	-0.5985665	2.1426145	0.8881465	0.6278585	-0.9820685	-1.3932705	1.0390965	1.5205545	1.8112435	0.2070745	-0.3766215	-0.1311515	-1.1014985	1.3939015	1.8592005	0.7919165	0.1986825	-0.8032225	1.3066025	0.3652755	-0.1882095	-0.5545135	-0.8471335	1.0918785	0.6537255	-0.0221545	-0.1278425	0.0186455	2.3531305	0.1785615
CDC2	1.1466195	-0.3915245	-0.8258235	1.0107865	0.3132285	0.3541485	-1.0653875	-1.5333865	-0.6487075	-1.6585965	0.1942935	0.0014125	-0.1525035	1.5295445	-0.2679155	-0.0014125	-0.9556035	1.6562685	-2.1600165	0.5968285	0.5321565	0.0597635	-0.3564895	1.5213495	-0.4549625	1.6413665	1.6627875	-0.5012385	0.7813625	-0.6329715	-0.1487385	1.7887605	0.0983645	-0.6197205	0.1568745	-0.1350535	1.3583785	1.8146755	-0.9839785	1.0652095	0.0631535	-0.5862215	-0.6504085	-0.0746815	1.0229755	-0.1627435	-1.3587655	-1.3481665	0.7365615	0.1727765	0.2373625	-1.5403345	-0.7182615	0.7803025	-3.7480895	0.8192745	-0.2424485	0.3863845	-0.1791005	-0.8170565	0.3266815	0.6184485	-0.7602255	-0.9079075	-1.3346055	-0.2189855	-0.6011855	0.2558145	0.4411275	-0.4872395	-0.1980515	0.3725645	-1.5483275	1.5671515	-0.3877195	0.4491745	-1.1737075	-0.7296655	1.4888635	-0.7240075	-0.0355315	-1.0423835	1.6742605	0.9693935	-0.2993325	0.0741235	0.1186875	-0.0452455	-1.6193375	1.1477735	1.0929635	0.1099665	-1.8614825	-0.8354215	0.2424675	0.1884995	0.8429465	0.9354035	-1.1266765	0.7899595	-2.0648365	-0.5874125	-0.8301945	0.7794975	-3.8405165	-2.3418245	1.7399235	0.1153065	0.5137395	-0.3812405	0.7038465	0.2211015	1.4329025	-0.3488335	0.6355585	-0.4273935	0.0524205	1.2540935
